water_ratio,power,cook_time,soak_time,initial_temp,rice_type,doneness
1.3745401188473625,680,25,11,32,basmati,53.224486617962825
1.9507143064099162,759,37,10,31,brown,84.64778738824039
1.731993941811405,306,26,6,20,brown,7.419774087244093
1.5986584841970366,328,17,3,20,brown,0.0
1.1560186404424364,694,17,18,32,brown,34.43845800460987
1.1559945203362028,332,34,0,23,white,42.0816992026833
1.0580836121681996,433,18,27,26,brown,14.776025726103796
1.866176145774935,666,11,23,20,brown,7.789197001967559
1.6011150117432087,378,24,28,28,basmati,26.641715329107576
1.7080725777960455,715,27,2,23,basmati,64.12458964752153
1.0205844942958024,734,12,12,22,white,23.605184212131327
1.9699098521619942,758,26,14,20,basmati,62.227741554597486
1.8324426408004217,357,13,1,29,brown,7.00740083043701
1.2123391106782762,770,39,10,23,basmati,89.79646964339496
1.1818249672071006,325,13,3,28,white,12.982334919990745
1.1834045098534338,781,23,18,32,basmati,52.543637342643606
1.3042422429595377,729,18,28,33,basmati,31.534335025298653
1.524756431632238,525,18,16,29,white,23.38288974131565
1.4319450186421157,584,34,2,25,white,61.47001265406367
1.291229140198042,303,35,27,25,brown,16.742228815180738
1.6118528947223796,764,32,17,20,basmati,87.61341517031163
1.139493860652042,398,39,7,29,brown,41.96263615467246
1.2921446485352182,696,27,21,21,basmati,62.8366921692012
1.3663618432936917,788,19,24,30,basmati,46.632155122341814
1.456069984217036,338,30,23,25,brown,21.561124371680773
1.7851759613930136,570,13,25,21,basmati,17.44242364700678
1.1996737821583596,674,21,18,22,basmati,38.17410677781876
1.5142344384136117,584,36,4,23,basmati,63.77527429150645
1.5924145688620426,456,17,6,30,white,14.92918613215608
1.0464504127199978,374,11,20,24,brown,3.525613226606436
1.6075448519014384,671,31,7,34,white,60.82239641188775
1.1705241236872914,587,22,27,28,brown,25.698660772257348
1.0650515929852795,429,30,4,31,brown,39.53437260253836
1.9488855372533331,474,25,16,34,basmati,33.946411083522094
1.9656320330745594,761,37,4,34,brown,88.38468110340011
1.8083973481164612,383,11,3,23,white,12.51110412685999
1.3046137691733706,321,20,21,32,white,9.485150193646188
1.0976721140063839,758,19,18,30,white,38.877494912850835
1.6842330265121568,326,24,26,28,brown,11.18871899051062
1.4401524937396013,494,26,20,30,white,36.46920361122297
1.1220382348447788,636,17,1,29,brown,21.533649521968563
1.4951769101112702,681,27,10,22,white,63.366235378391
1.0343885211152184,535,32,21,27,white,62.763711885700054
1.909320402078782,739,18,12,31,brown,37.361374575453866
1.258779981600017,391,34,14,20,white,36.97207918621822
1.662522284353982,776,17,11,30,basmati,35.43613475556613
1.311711076089411,320,36,21,28,brown,22.66395803641464
1.5200680211778108,602,23,20,28,brown,29.752243116718976
1.5467102793432796,763,37,21,29,brown,81.45603349896152
